tier,division,match_id
GRANDMASTERS,GR,NA1_4583557512
GRANDMASTERS,GR,NA1_4580043797
GRANDMASTERS,GR,NA1_4579826843
GRANDMASTERS,GR,NA1_4579807865
GRANDMASTERS,GR,NA1_4578998794
GRANDMASTERS,GR,NA1_4578934349
GRANDMASTERS,GR,NA1_4578123710
GRANDMASTERS,GR,NA1_4578113261
GRANDMASTERS,GR,NA1_4578088736
GRANDMASTERS,GR,NA1_4577394008
GRANDMASTERS,GR,NA1_4577375182
GRANDMASTERS,GR,NA1_4576697499
GRANDMASTERS,GR,NA1_4576684759
GRANDMASTERS,GR,NA1_4576591353
GRANDMASTERS,GR,NA1_4572045629
GRANDMASTERS,GR,NA1_4572030334
GRANDMASTERS,GR,NA1_4572019414
GRANDMASTERS,GR,NA1_4571687867
GRANDMASTERS,GR,NA1_4571531967
GRANDMASTERS,GR,NA1_4571497596
GRANDMASTERS,GR,NA1_4571461535
GRANDMASTERS,GR,NA1_4571427809
GRANDMASTERS,GR,NA1_4571334470
GRANDMASTERS,GR,NA1_4571320274
GRANDMASTERS,GR,NA1_4571281618
GRANDMASTERS,GR,NA1_4571218297
GRANDMASTERS,GR,NA1_4570749930
GRANDMASTERS,GR,NA1_4570702601
GRANDMASTERS,GR,NA1_4570660994
GRANDMASTERS,GR,NA1_4570610678
GRANDMASTERS,GR,NA1_4570489759
GRANDMASTERS,GR,NA1_4570451651
GRANDMASTERS,GR,NA1_4590150730
GRANDMASTERS,GR,NA1_4590122123
GRANDMASTERS,GR,NA1_4590091384
GRANDMASTERS,GR,NA1_4589957054
GRANDMASTERS,GR,NA1_4589873083
GRANDMASTERS,GR,NA1_4589822846
GRANDMASTERS,GR,NA1_4589200892
GRANDMASTERS,GR,NA1_4589142596
GRANDMASTERS,GR,NA1_4589103066
GRANDMASTERS,GR,NA1_4588981220
GRANDMASTERS,GR,NA1_4588936163
GRANDMASTERS,GR,NA1_4588548304
GRANDMASTERS,GR,NA1_4588382880
GRANDMASTERS,GR,NA1_4588293725
GRANDMASTERS,GR,NA1_4588231496
GRANDMASTERS,GR,NA1_4588201187
GRANDMASTERS,GR,NA1_4588083913
GRANDMASTERS,GR,NA1_4588061574
GRANDMASTERS,GR,NA1_4587736281
GRANDMASTERS,GR,NA1_4587724132
GRANDMASTERS,GR,NA1_4587672743
GRANDMASTERS,GR,NA1_4587635309
GRANDMASTERS,GR,NA1_4587603994
GRANDMASTERS,GR,NA1_4587572493
GRANDMASTERS,GR,NA1_4587531617
GRANDMASTERS,GR,NA1_4587485244
GRANDMASTERS,GR,NA1_4587435859
GRANDMASTERS,GR,NA1_4587262736
GRANDMASTERS,GR,NA1_4587232886
GRANDMASTERS,GR,NA1_4587162975
GRANDMASTERS,GR,NA1_4587135456
GRANDMASTERS,GR,NA1_4586586584
GRANDMASTERS,GR,NA1_4586464420
GRANDMASTERS,GR,NA1_4586429011
GRANDMASTERS,GR,NA1_4586352104
GRANDMASTERS,GR,NA1_4586320081
GRANDMASTERS,GR,NA1_4585845264
GRANDMASTERS,GR,NA1_4585820100
GRANDMASTERS,GR,NA1_4585784190
GRANDMASTERS,GR,NA1_4585708214
GRANDMASTERS,GR,NA1_4585501101
GRANDMASTERS,GR,NA1_4585477453
GRANDMASTERS,GR,NA1_4585450511
GRANDMASTERS,GR,NA1_4585331795
GRANDMASTERS,GR,NA1_4584954712
GRANDMASTERS,GR,NA1_4584903131
GRANDMASTERS,GR,NA1_4584871066
GRANDMASTERS,GR,NA1_4584823597
GRANDMASTERS,GR,NA1_4584758891
GRANDMASTERS,GR,NA1_4584612512
GRANDMASTERS,GR,NA1_4589310805
GRANDMASTERS,GR,NA1_4589284793
GRANDMASTERS,GR,NA1_4589206584
GRANDMASTERS,GR,NA1_4589101743
GRANDMASTERS,GR,NA1_4589049223
GRANDMASTERS,GR,NA1_4589005864
GRANDMASTERS,GR,NA1_4588969968
GRANDMASTERS,GR,NA1_4588940969
GRANDMASTERS,GR,NA1_4588913049
GRANDMASTERS,GR,NA1_4588883420
GRANDMASTERS,GR,NA1_4588873955
GRANDMASTERS,GR,NA1_4588846634
GRANDMASTERS,GR,NA1_4588823691
GRANDMASTERS,GR,NA1_4588796520
GRANDMASTERS,GR,NA1_4588782491
GRANDMASTERS,GR,NA1_4588767266
